wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-04-26,2023-05-10,,100,80.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-04-27,2023-05-11,,100,80.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-04-28,2023-05-12,,100,80.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-04-29,2023-05-13,,100,80.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-04-30,2023-05-14,,100,80.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-01,2023-05-15,5130,100,86.5,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-02,2023-05-16,5130,100,86.5,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-03,2023-05-17,62,100,82.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-04,2023-05-18,62,100,82.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-05,2023-05-19,62,100,82.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-06,2023-05-20,62,100,82.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-07,2023-05-21,62,100,82.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-08,2023-05-22,-52,100,78.25,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-09,2023-05-23,-52,100,78.25,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-10,2023-05-24,86,100,82.6,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-11,2023-05-25,21,100,82.6,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-12,2023-05-26,21,100,82.6,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-13,2023-05-27,21,100,82.6,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-14,2023-05-28,21,100,82.6,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-15,2023-05-29,-65,100,78.6,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-16,2023-05-30,-17,100,78.6,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-17,2023-05-31,-17,100,78.6,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-18,2023-06-01,-98,100,61.75,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-19,2023-06-02,-98,100,61.75,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-20,2023-06-03,-98,100,61.75,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-21,2023-06-04,-98,100,61.75,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-22,2023-06-05,-99,80,50.8,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-23,2023-06-06,-100,75,50.8,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-24,2023-06-07,-99,80,44.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-25,2023-06-08,-94,75,44.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-26,2023-06-09,-94,75,44.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-27,2023-06-10,-94,75,44.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-28,2023-06-11,-94,75,44.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-29,2023-06-12,-45,80,32.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-30,2023-06-13,408,75,32.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-05-31,2023-06-14,403,80,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-01,2023-06-15,403,80,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-02,2023-06-16,2546,75,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-03,2023-06-17,2546,75,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-04,2023-06-18,2546,75,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-05,2023-06-19,-32,60,25.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-06,2023-06-20,-96,75,25.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-07,2023-06-21,-84,80,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-08,2023-06-22,-93,75,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-09,2023-06-23,-93,75,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-10,2023-06-24,-93,75,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-11,2023-06-25,-93,75,29.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-12,2023-06-26,-93,60,25.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-13,2023-06-27,-93,50,25.4,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-14,2023-06-28,22,60,28.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-15,2023-06-29,2089,50,28.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-16,2023-06-30,2089,50,28.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-17,2023-07-01,2089,50,28.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-18,2023-07-02,2089,50,28.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-19,2023-07-03,2089,50,28.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-20,2023-07-04,2677,75,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-21,2023-07-05,2677,75,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-22,2023-07-06,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-23,2023-07-07,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-24,2023-07-08,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-25,2023-07-09,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-26,2023-07-10,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-27,2023-07-11,639,100,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-28,2023-07-12,639,100,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-29,2023-07-13,,100,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-30,2023-07-14,,100,45.0,no,2023-05-10
